show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genre,description
s579,Movie,Title 579,Director 46,"Actor 123, Actor 320",USA,14-01-2024,2021,3,152 min,Drama,This is a description for Title 579
s535,TV Show,Title 535,Director 48,"Actor 124, Actor 234",UK,09-08-2011,2013,3,2 Seasons,Documentary,This is a description for Title 535
s909,TV Show,Title 909,Director 92,"Actor 124, Actor 253",Canada,27-03-2016,2009,9,5 Seasons,Romance,This is a description for Title 909
s524,TV Show,Title 524,Director 74,"Actor 124, Actor 339",UK,20-12-2023,2008,10,1 Seasons,Thriller,This is a description for Title 524
s30,TV Show,Title 30,Director 30,"Actor 124, Actor 343",Australia,13-09-2012,2003,1,3 Seasons,Horror,This is a description for Title 30
s928,Movie,Title 928,Director 41,"Actor 124, Actor 365",Canada,13-06-2021,2021,4,142 min,Drama,This is a description for Title 928
s393,Movie,Title 393,Director 67,"Actor 124, Actor 366",Australia,02-04-2015,2010,1,151 min,Romance,This is a description for Title 393
s831,Movie,Title 831,Director 64,"Actor 126, Actor 229",India,28-11-2017,2024,7,92 min,Thriller,This is a description for Title 831
s199,TV Show,Title 199,Director 41,"Actor 126, Actor 247",Australia,12-04-2011,2006,5,3 Seasons,Romance,This is a description for Title 199
s465,TV Show,Title 465,Director 66,"Actor 126, Actor 280",India,01-07-2017,2007,3,1 Seasons,Romance,This is a description for Title 465
s506,TV Show,Title 506,Director 36,"Actor 126, Actor 298",Australia,18-04-2022,2020,1,2 Seasons,Drama,This is a description for Title 506
s546,TV Show,Title 546,Director 73,"Actor 126, Actor 299",UK,21-06-2020,2018,3,5 Seasons,Drama,This is a description for Title 546
s809,Movie,Title 809,Director 10,"Actor 126, Actor 324",UK,14-01-2020,2017,9,97 min,Comedy,This is a description for Title 809
s352,Movie,Title 352,Director 66,"Actor 127, Actor 233",Australia,21-03-2025,2007,8,87 min,Horror,This is a description for Title 352
s613,Movie,Title 613,Director 44,"Actor 127, Actor 267",Australia,09-07-2010,2020,5,172 min,Comedy,This is a description for Title 613
s423,Movie,Title 423,Director 67,"Actor 127, Actor 311",UK,17-11-2011,2021,9,157 min,Documentary,This is a description for Title 423
s496,TV Show,Title 496,Director 87,"Actor 127, Actor 320",Canada,25-03-2024,2005,7,2 Seasons,Horror,This is a description for Title 496
s549,TV Show,Title 549,Director 56,"Actor 127, Actor 336",UK,02-08-2014,2001,8,4 Seasons,Drama,This is a description for Title 549
s780,Movie,Title 780,Director 43,"Actor 127, Actor 377",India,20-02-2013,2006,10,122 min,Drama,This is a description for Title 780
s602,TV Show,Title 602,Director 14,"Actor 128, Actor 274",Canada,12-05-2016,2010,8,1 Seasons,Action,This is a description for Title 602
s303,TV Show,Title 303,Director 27,"Actor 128, Actor 312",UK,12-04-2010,2005,2,1 Seasons,Comedy,This is a description for Title 303
s132,TV Show,Title 132,Director 39,"Actor 128, Actor 345",USA,05-05-2018,2022,1,2 Seasons,Action,This is a description for Title 132
s283,TV Show,Title 283,Director 35,"Actor 128, Actor 350",Australia,16-11-2012,2009,2,2 Seasons,Drama,This is a description for Title 283
s584,Movie,Title 584,Director 95,"Actor 128, Actor 396",Australia,08-11-2020,2012,4,133 min,Drama,This is a description for Title 584
s112,TV Show,Title 112,Director 33,"Actor 129, Actor 239",Canada,13-03-2012,2000,1,4 Seasons,Action,This is a description for Title 112
s23,TV Show,Title 23,Director 19,"Actor 129, Actor 294",USA,27-08-2017,2018,5,3 Seasons,Comedy,This is a description for Title 23
s627,TV Show,Title 627,Director 81,"Actor 129, Actor 366",India,26-08-2018,2019,6,3 Seasons,Thriller,This is a description for Title 627
s117,Movie,Title 117,Director 30,"Actor 13, Actor 228",India,08-06-2022,2009,8,152 min,Romance,This is a description for Title 117
s771,Movie,Title 771,Director 37,"Actor 13, Actor 319",India,24-01-2011,2012,4,160 min,Action,This is a description for Title 771
s497,Movie,Title 497,Director 36,"Actor 13, Actor 335",Canada,16-08-2010,2021,3,123 min,Documentary,This is a description for Title 497
s987,Movie,Title 987,Director 20,"Actor 13, Actor 336",Canada,17-07-2023,2005,3,144 min,Romance,This is a description for Title 987
s709,TV Show,Title 709,Director 34,"Actor 13, Actor 363",Australia,01-08-2025,2002,5,3 Seasons,Thriller,This is a description for Title 709
s488,TV Show,Title 488,Director 19,"Actor 13, Actor 390",Australia,19-06-2011,2007,2,1 Seasons,Drama,This is a description for Title 488
s220,TV Show,Title 220,Director 53,"Actor 130, Actor 219",USA,21-09-2023,2010,1,5 Seasons,Drama,This is a description for Title 220
s939,TV Show,Title 939,Director 16,"Actor 130, Actor 240",Canada,27-02-2012,2020,8,1 Seasons,Action,This is a description for Title 939
s829,Movie,Title 829,Director 58,"Actor 130, Actor 244",USA,04-11-2022,2014,5,133 min,Documentary,This is a description for Title 829
s716,TV Show,Title 716,Director 9,"Actor 130, Actor 304",USA,07-02-2022,2018,3,4 Seasons,Action,This is a description for Title 716
s577,Movie,Title 577,Director 15,"Actor 130, Actor 313",Canada,25-05-2022,2006,9,135 min,Thriller,This is a description for Title 577
s659,Movie,Title 659,Director 37,"Actor 130, Actor 316",USA,06-01-2018,2003,9,116 min,Drama,This is a description for Title 659
s222,Movie,Title 222,Director 58,"Actor 130, Actor 346",India,07-11-2024,2019,10,116 min,Documentary,This is a description for Title 222
s648,Movie,Title 648,Director 17,"Actor 130, Actor 369",Canada,02-01-2022,2002,2,81 min,Thriller,This is a description for Title 648
s655,TV Show,Title 655,Director 95,"Actor 130, Actor 395",Canada,20-05-2015,2020,1,2 Seasons,Action,This is a description for Title 655
s642,Movie,Title 642,Director 64,"Actor 131, Actor 216",Canada,05-08-2021,2016,10,128 min,Documentary,This is a description for Title 642
s86,Movie,Title 86,Director 95,"Actor 131, Actor 319",Canada,15-10-2021,2015,6,152 min,Drama,This is a description for Title 86
s658,TV Show,Title 658,Director 59,"Actor 132, Actor 266",Canada,12-03-2025,2007,2,2 Seasons,Action,This is a description for Title 658
s991,Movie,Title 991,Director 3,"Actor 132, Actor 281",USA,08-12-2011,2018,5,105 min,Horror,This is a description for Title 991
s819,Movie,Title 819,Director 92,"Actor 132, Actor 300",Canada,08-01-2016,2014,5,87 min,Documentary,This is a description for Title 819
s721,TV Show,Title 721,Director 76,"Actor 132, Actor 315",Australia,19-12-2017,2023,3,1 Seasons,Drama,This is a description for Title 721
s128,TV Show,Title 128,Director 46,"Actor 132, Actor 352",India,24-07-2022,2003,7,5 Seasons,Drama,This is a description for Title 128
s595,TV Show,Title 595,Director 46,"Actor 132, Actor 359",India,13-10-2017,2004,5,5 Seasons,Horror,This is a description for Title 595
s734,Movie,Title 734,Director 35,"Actor 132, Actor 381",UK,09-12-2024,2009,10,139 min,Romance,This is a description for Title 734
s859,Movie,Title 859,Director 53,"Actor 132, Actor 381",Canada,02-09-2016,2019,7,125 min,Documentary,This is a description for Title 859
s625,Movie,Title 625,Director 61,"Actor 132, Actor 390",India,07-09-2020,2012,1,171 min,Action,This is a description for Title 625
s255,Movie,Title 255,Director 27,"Actor 133, Actor 247",USA,02-11-2022,2012,7,162 min,Horror,This is a description for Title 255
s70,Movie,Title 70,Director 81,"Actor 133, Actor 271",Australia,07-06-2019,2025,6,131 min,Action,This is a description for Title 70
s370,Movie,Title 370,Director 55,"Actor 133, Actor 303",Canada,03-02-2023,2024,7,82 min,Action,This is a description for Title 370
s123,TV Show,Title 123,Director 49,"Actor 133, Actor 324",India,06-12-2023,2016,8,2 Seasons,Thriller,This is a description for Title 123
s850,TV Show,Title 850,Director 57,"Actor 133, Actor 340",India,09-03-2017,2002,8,1 Seasons,Comedy,This is a description for Title 850
s722,Movie,Title 722,Director 77,"Actor 133, Actor 344",India,13-12-2025,2005,5,149 min,Drama,This is a description for Title 722
s464,Movie,Title 464,Director 25,"Actor 133, Actor 398",India,09-02-2021,2003,8,122 min,Romance,This is a description for Title 464
s581,Movie,Title 581,Director 96,"Actor 134, Actor 202",Canada,15-09-2011,2023,10,151 min,Romance,This is a description for Title 581
s190,TV Show,Title 190,Director 99,"Actor 134, Actor 322",USA,02-08-2025,2001,2,5 Seasons,Comedy,This is a description for Title 190
s700,TV Show,Title 700,Director 99,"Actor 134, Actor 332",India,02-02-2010,2019,7,4 Seasons,Documentary,This is a description for Title 700
s898,Movie,Title 898,Director 54,"Actor 134, Actor 348",Australia,23-02-2020,2023,8,102 min,Thriller,This is a description for Title 898
s783,TV Show,Title 783,Director 53,"Actor 135, Actor 256",Australia,27-07-2011,2000,5,3 Seasons,Documentary,This is a description for Title 783
s933,Movie,Title 933,Director 58,"Actor 135, Actor 286",UK,25-09-2024,2025,7,143 min,Documentary,This is a description for Title 933
s322,TV Show,Title 322,Director 79,"Actor 135, Actor 318",Australia,12-08-2013,2023,5,3 Seasons,Drama,This is a description for Title 322
s180,Movie,Title 180,Director 57,"Actor 135, Actor 340",Australia,01-08-2015,2014,2,132 min,Thriller,This is a description for Title 180
s840,Movie,Title 840,Director 62,"Actor 135, Actor 367",Australia,26-08-2015,2009,8,104 min,Romance,This is a description for Title 840
s575,Movie,Title 575,Director 14,"Actor 136, Actor 212",UK,02-03-2021,2024,6,89 min,Documentary,This is a description for Title 575
s756,TV Show,Title 756,Director 21,"Actor 136, Actor 240",UK,13-02-2025,2018,6,1 Seasons,Action,This is a description for Title 756
s856,Movie,Title 856,Director 57,"Actor 136, Actor 248",Canada,27-12-2010,2017,5,121 min,Horror,This is a description for Title 856
s27,Movie,Title 27,Director 99,"Actor 136, Actor 298",USA,28-03-2018,2022,5,112 min,Romance,This is a description for Title 27
